,Standard Deviation,Mean,Peak-to-Peak,No of Peaks
0,0.2819172137030112,0.001334908714084328,1.6157514215642794,[47 56 81]
1,0.3055707587916118,0.001021340735943944,1.6877386326750434,[56 85]
2,0.2716332546579448,0.0007334509277848174,1.4725427100064787,[59 84]
3,0.28754480487175266,0.0007204019709619542,1.6222046578868161,[55 80]
4,0.2895292538081022,0.0010176896619170516,1.7118186027923024,[55 82]
5,0.2614356958188886,0.0009035411248845904,1.5392599888948322,[55 75]
6,0.32163745510384745,0.0012433060645669052,1.5434794351581131,[ 56  82 130]
7,0.3302142631665554,0.0012629006114306298,1.8289509605697911,[59 85]
8,0.2793124595445334,0.0014180881748949697,1.5425573677891362,[56 78]
9,0.30329732571464574,0.0010826462019898114,1.7765849868506194,[56 84]
10,0.29885851642106204,0.0009625934591869109,1.6769357230434871,[55 84]
11,0.30787757313659064,0.0010272075976811789,1.817214164871674,[55 82]
12,0.29954428428429214,0.0009607270868906323,1.7097943336201742,[52 80]
13,0.2637547747298761,0.0005491935594609107,1.4070703458931733,[84]
14,0.2989890275613943,0.0010297584570360806,1.740028065447456,[55 75]
15,0.27325745659794815,0.0006951737408398065,1.4226538851692494,[54]
16,0.296508131195441,0.0009378476951452,1.7030801800106725,[54 81]
17,0.28398716417497405,0.0014701409546560799,1.6502641806167744,[47 56 80]
18,0.3402604474549176,0.000790042430052502,1.846269869123748,[61 86]
19,0.32504523560087695,0.0012797224551276565,1.924138560275984,[55 81]
20,0.2973821804624709,0.0009349881732995148,1.661661049863085,[56 84]
21,0.28550056144537916,0.0016123095426693482,1.5883822091256063,[59 81]
22,0.32121140798443193,0.0012136354247908898,1.8658370696168867,[55 82]
23,0.33963165689441804,0.00048365896118822795,1.94511780101711,[59 82]
24,0.2685248407641389,0.001388863639999755,1.5169217024156385,[55 75]
25,0.26046305567246164,0.0010083610488340576,1.5238078540474402,[55 81]
26,0.2875174146172042,0.0005920845579000561,1.610904415283466,[59 85]
27,0.3066960542341331,0.0006341633233982033,1.6575983248548332,[59 86]
28,0.3033407635585973,0.0009932206528121153,1.7848982734887695,[55 82]
29,0.3108013066687083,0.0009870839953915389,1.809668660573452,[54 75]
30,0.3117815359551402,0.000986305863998598,1.740008193252406,[55 82]
31,0.311856787436729,0.0010204675570108259,1.8257964816632053,[55 81]
32,0.30795937105959736,0.0007377546071383377,1.6673482580136574,[59 86]
33,0.2978483123924276,0.0013763708252952649,1.5405153566875809,[58 82]
34,0.269896283117959,0.0005975554713640277,1.4688211815983725,[55 80]
35,0.29523021525971527,0.0005585097042523058,1.644379852784783,[59 81]
36,0.3278529196917583,0.0012605242830616148,1.9455510758918158,[56 80]
37,0.3542330278409833,0.00025731196705298606,1.9933637787963956,[61 82]
38,0.2944818521964126,0.000984448467248444,1.7455683687177652,[56 85]
39,0.26446381495366,0.001202409995769316,1.4882552455563065,[55 78]
40,0.31466585955475496,0.0010397508988629093,1.775113305405156,[56 84]
41,0.2967133421811513,0.0009549901547021746,1.718946685026434,[55 81]
42,0.319852801590384,0.0016617610194506458,1.792031202247843,[48 58 81]
43,0.30200358594931725,0.0010463192330905943,1.6692209107337002,[56 80]
44,0.3030482543273768,0.0005733248328780983,1.6388640035021718,[59 86]
45,0.2944964552237772,0.0015106684690645521,1.660647525407383,[49 59 81]
46,0.2848442211748222,0.0010432970987362784,1.6807811699063926,[56 85]
47,0.34194777341021454,0.0010633090082376453,1.686130335337193,[56 84]
48,0.3151607394109151,0.001583146176069713,1.7499380839300946,[50 61 82]
49,0.275254532795251,0.0013401608352757227,1.5684666864751908,[59 82]
50,0.28314361804516264,0.0009825654615001657,1.6803575358906642,[54 81]
51,0.27920986019211835,0.0010862249694479622,1.5659430114450386,[55 78]
52,0.26940580446515566,0.0008214240123580839,1.4367444950388637,[54 78]
53,0.26183643191816997,0.001214039530723759,1.4841688974038818,[55 75]
54,0.32834492565746654,0.0012167376636036847,1.8977648212255445,[59 82]
55,0.33147440610387263,0.0014272689802508416,1.8977779091571638,[58 81]
56,0.2921706870173498,0.0008780210130703949,1.5621565102020556,[59 85]
57,0.3222771294325615,0.001438537388005803,1.8909867539546708,[59 82]
58,0.2857244457061267,0.0014261467277218993,1.6520786465382349,[47 56 80]
59,0.32635114051112474,0.0014192234319071015,1.8704783636622326,[56 80]
60,0.3175960295193714,0.0013481005552694843,1.850719937723425,[59 82]
61,0.287888560437587,0.0015201320328258486,1.5767184115879367,[56 80]
62,0.2789008138098215,0.0009920196905266422,1.5344644632211089,[55 78]
63,0.3205338507147083,0.0012101077026975082,1.8566712356051238,[56 80]
64,0.3146507583972042,0.0009618600784959094,1.781081705175795,[54 81]
65,0.3313811745918775,0.0005773534313165952,1.9262809812688073,[59 82]
66,0.335325328307013,0.0014037923374825559,1.8656401671198461,[59 82]
67,0.3105917422915988,0.001478733487822435,1.7466667230468245,[61 82]
68,0.37038284747155165,0.00163972795467772,1.9105652142544969,[ 14  30  59  82 110]
69,0.29529695846922216,0.0009319463650699472,1.6150181184456534,[59 85]
70,0.3190633241106356,0.0012458862114288784,1.8281186432900018,[56 82]
71,0.30630161524783045,0.0006733961505554408,1.6591499541054548,[59 86]
72,0.2972906978466389,0.0010518421731103122,1.7419678152873328,[56 85]
73,0.3266892838554391,0.001338150524398599,1.9286692059543855,[59 82]
74,0.2931908376964436,0.0012788351092346134,1.7120649513842225,[55 80]
75,0.3371169092769617,0.0004503227845644744,1.921254421948523,[59 82]
76,0.3138185919124821,0.001605460469375453,1.7565837411613163,[51 63 85]
77,0.28508317088746815,0.001022942945476268,1.6297191021300343,[55 84]
78,0.3152260358771715,0.001115740598666899,1.819162320862322,[54 75]
79,0.3378254001122831,0.001051191278036341,1.9651129681091213,[54 75]
80,0.29390670582339135,0.0012683859819344787,1.732989698072058,[55 78]
81,0.28227560668882645,0.0009290280956884217,1.6591595809603872,[55 82]
82,0.3040040726862127,0.0009910611247024787,1.658717791186639,[59 85]
83,0.29281368662158863,0.0012680664246581467,1.6976626279840723,[55 78]
